Course Name,Course Code,Course ID,Academic Term,Class,Class ID,Section,Section ID,Core Code,Core Text,Primary Instructor Formatted Name,Primary Instructor Link Blue Id,Course Section,Assignment Name,Assignment ID,Due Date,Has Submissions
COM312-001: Intercultural Communication In The Media (Fall 2019),COM312-001,1952817,Fall 2019,COM 312,98015952,Section 001,97417034,CCC,"Community, Culture and Citizenship in US",Alan D Desantis,ADDESA01,COM312-001,Joy Luck Club (1993),10358240,,False
COM312-001: Intercultural Communication In The Media (Fall 2019),COM312-001,1952817,Fall 2019,COM 312,98015952,Section 001,97417034,CCC,"Community, Culture and Citizenship in US",Alan D Desantis,ADDESA01,COM312-001,The Last Samurai (2003),10358241,,False
COM312-001: Intercultural Communication In The Media (Fall 2019),COM312-001,1952817,Fall 2019,COM 312,98015952,Section 001,97417034,CCC,"Community, Culture and Citizenship in US",Alan D Desantis,ADDESA01,COM312-001,SONA,10358242,,False
COM312-001: Intercultural Communication In The Media (Fall 2019),COM312-001,1952817,Fall 2019,COM 312,98015952,Section 001,97417034,CCC,"Community, Culture and Citizenship in US",Alan D Desantis,ADDESA01,COM312-001,Attendance and Participation ,10358243,,False
COM312-001: Intercultural Communication In The Media (Fall 2019),COM312-001,1952817,Fall 2019,COM 312,98015952,Section 001,97417034,CCC,"Community, Culture and Citizenship in US",Alan D Desantis,ADDESA01,COM312-001,Final Exam ,10358244,,False
COM312-002: Intercultural Communication In The Media (Fall 2019),COM312-002,1952819,Fall 2019,COM 312,98015952,Section 002,97417035,CCC,"Community, Culture and Citizenship in US",Alan D Desantis,ADDESA01,COM312-002,Attendance and Participation ,10359985,,False
COM312-002: Intercultural Communication In The Media (Fall 2019),COM312-002,1952819,Fall 2019,COM 312,98015952,Section 002,97417035,CCC,"Community, Culture and Citizenship in US",Alan D Desantis,ADDESA01,COM312-002,Avalon (1990),10359986,,False
COM312-002: Intercultural Communication In The Media (Fall 2019),COM312-002,1952819,Fall 2019,COM 312,98015952,Section 002,97417035,CCC,"Community, Culture and Citizenship in US",Alan D Desantis,ADDESA01,COM312-002,Breadwinner (2017),10359987,,False
COM312-002: Intercultural Communication In The Media (Fall 2019),COM312-002,1952819,Fall 2019,COM 312,98015952,Section 002,97417035,CCC,"Community, Culture and Citizenship in US",Alan D Desantis,ADDESA01,COM312-002,Crash (2004),10359988,,False
COM312-002: Intercultural Communication In The Media (Fall 2019),COM312-002,1952819,Fall 2019,COM 312,98015952,Section 002,97417035,CCC,"Community, Culture and Citizenship in US",Alan D Desantis,ADDESA01,COM312-002,District 9 (2009) ,10359989,,False
COM312-002: Intercultural Communication In The Media (Fall 2019),COM312-002,1952819,Fall 2019,COM 312,98015952,Section 002,97417035,CCC,"Community, Culture and Citizenship in US",Alan D Desantis,ADDESA01,COM312-002,Documentary--Reel Injun (2009)  ,10359990,,False
COM312-002: Intercultural Communication In The Media (Fall 2019),COM312-002,1952819,Fall 2019,COM 312,98015952,Section 002,97417035,CCC,"Community, Culture and Citizenship in US",Alan D Desantis,ADDESA01,COM312-002,Do the Right Thing (1989),10359991,,False
COM312-002: Intercultural Communication In The Media (Fall 2019),COM312-002,1952819,Fall 2019,COM 312,98015952,Section 002,97417035,CCC,"Community, Culture and Citizenship in US",Alan D Desantis,ADDESA01,COM312-002,Final Exam ,10359992,,False
COM312-002: Intercultural Communication In The Media (Fall 2019),COM312-002,1952819,Fall 2019,COM 312,98015952,Section 002,97417035,CCC,"Community, Culture and Citizenship in US",Alan D Desantis,ADDESA01,COM312-002,In Time (2011),10359993,,False
COM312-002: Intercultural Communication In The Media (Fall 2019),COM312-002,1952819,Fall 2019,COM 312,98015952,Section 002,97417035,CCC,"Community, Culture and Citizenship in US",Alan D Desantis,ADDESA01,COM312-002,Joy Luck Club (1993),10359994,,False
COM312-002: Intercultural Communication In The Media (Fall 2019),COM312-002,1952819,Fall 2019,COM 312,98015952,Section 002,97417035,CCC,"Community, Culture and Citizenship in US",Alan D Desantis,ADDESA01,COM312-002,Jungle Fever (1991),10359995,,False
COM312-002: Intercultural Communication In The Media (Fall 2019),COM312-002,1952819,Fall 2019,COM 312,98015952,Section 002,97417035,CCC,"Community, Culture and Citizenship in US",Alan D Desantis,ADDESA01,COM312-002,Blinded By the Light,10359996,,False
COM312-002: Intercultural Communication In The Media (Fall 2019),COM312-002,1952819,Fall 2019,COM 312,98015952,Section 002,97417035,CCC,"Community, Culture and Citizenship in US",Alan D Desantis,ADDESA01,COM312-002,Matewan (1987),10359997,,False
COM312-002: Intercultural Communication In The Media (Fall 2019),COM312-002,1952819,Fall 2019,COM 312,98015952,Section 002,97417035,CCC,"Community, Culture and Citizenship in US",Alan D Desantis,ADDESA01,COM312-002,Gandhi (1982),10359998,,False
COM312-002: Intercultural Communication In The Media (Fall 2019),COM312-002,1952819,Fall 2019,COM 312,98015952,Section 002,97417035,CCC,"Community, Culture and Citizenship in US",Alan D Desantis,ADDESA01,COM312-002,Real Women Have Curves (2002),10359999,,False
COM312-002: Intercultural Communication In The Media (Fall 2019),COM312-002,1952819,Fall 2019,COM 312,98015952,Section 002,97417035,CCC,"Community, Culture and Citizenship in US",Alan D Desantis,ADDESA01,COM312-002,Smoke Signals (1998),10360000,,False
COM312-002: Intercultural Communication In The Media (Fall 2019),COM312-002,1952819,Fall 2019,COM 312,98015952,Section 002,97417035,CCC,"Community, Culture and Citizenship in US",Alan D Desantis,ADDESA01,COM312-002,SONA,10360001,,False
COM312-002: Intercultural Communication In The Media (Fall 2019),COM312-002,1952819,Fall 2019,COM 312,98015952,Section 002,97417035,CCC,"Community, Culture and Citizenship in US",Alan D Desantis,ADDESA01,COM312-002,The Last Samurai (2003),10360002,,False
COM312-002: Intercultural Communication In The Media (Fall 2019),COM312-002,1952819,Fall 2019,COM 312,98015952,Section 002,97417035,CCC,"Community, Culture and Citizenship in US",Alan D Desantis,ADDESA01,COM312-002,White Man’s Burden (1995) ,10360003,,False
COM312-001: Film & Culture,COM312-001,1966769,Spring 2020,COM 312,98015952,Section 001,97420403,CCC,"Community, Culture and Citizenship in US",Alan D Desantis,ADDESA01,COM312-001,Gandhi Quiz,10495234,2020-03-26T14:00:00Z,False
COM312-001: Film & Culture,COM312-001,1966769,Spring 2020,COM 312,98015952,Section 001,97420403,CCC,"Community, Culture and Citizenship in US",Alan D Desantis,ADDESA01,COM312-001,District 9 Quiz,10492664,2020-04-02T14:00:00Z,False
COM312-001: Film & Culture,COM312-001,1966769,Spring 2020,COM 312,98015952,Section 001,97420403,CCC,"Community, Culture and Citizenship in US",Alan D Desantis,ADDESA01,COM312-001,American Factory Quiz,10495217,2020-04-16T14:00:00Z,False
COM312-001: Film & Culture,COM312-001,1966769,Spring 2020,COM 312,98015952,Section 001,97420403,CCC,"Community, Culture and Citizenship in US",Alan D Desantis,ADDESA01,COM312-001,1) Avalon (1990),10416424,,False
COM312-001: Film & Culture,COM312-001,1966769,Spring 2020,COM 312,98015952,Section 001,97420403,CCC,"Community, Culture and Citizenship in US",Alan D Desantis,ADDESA01,COM312-001,3) Blinded By the Light,10416425,,False
COM312-001: Film & Culture,COM312-001,1966769,Spring 2020,COM 312,98015952,Section 001,97420403,CCC,"Community, Culture and Citizenship in US",Alan D Desantis,ADDESA01,COM312-001,4) Crash (2004),10416427,,False
COM312-001: Film & Culture,COM312-001,1966769,Spring 2020,COM 312,98015952,Section 001,97420403,CCC,"Community, Culture and Citizenship in US",Alan D Desantis,ADDESA01,COM312-001,5) Do the Right Thing (1989),10416430,,False
COM312-001: Film & Culture,COM312-001,1966769,Spring 2020,COM 312,98015952,Section 001,97420403,CCC,"Community, Culture and Citizenship in US",Alan D Desantis,ADDESA01,COM312-001,Final Exam ,10416431,,False
COM312-001: Film & Culture,COM312-001,1966769,Spring 2020,COM 312,98015952,Section 001,97420403,CCC,"Community, Culture and Citizenship in US",Alan D Desantis,ADDESA01,COM312-001,7) In Time (2011),10416433,,False
COM312-001: Film & Culture,COM312-001,1966769,Spring 2020,COM 312,98015952,Section 001,97420403,CCC,"Community, Culture and Citizenship in US",Alan D Desantis,ADDESA01,COM312-001,6) Race Illusion,10416436,,False
COM312-001: Film & Culture,COM312-001,1966769,Spring 2020,COM 312,98015952,Section 001,97420403,CCC,"Community, Culture and Citizenship in US",Alan D Desantis,ADDESA01,COM312-001,SONA,10416439,,False
COM312-001: Film & Culture,COM312-001,1966769,Spring 2020,COM 312,98015952,Section 001,97420403,CCC,"Community, Culture and Citizenship in US",Alan D Desantis,ADDESA01,COM312-001,2) Daughters of the Dust,10416441,,False
COM312-002: Film & Culture,COM312-002,1966770,Spring 2020,COM 312,98015952,Section 002,97420404,CCC,"Community, Culture and Citizenship in US",Alan D Desantis,ADDESA01,COM312-002,10) District 9 (2009) ,10417610,,False
COM312-002: Film & Culture,COM312-002,1966770,Spring 2020,COM 312,98015952,Section 002,97420404,CCC,"Community, Culture and Citizenship in US",Alan D Desantis,ADDESA01,COM312-002,11) Breadwinner (2017),10417611,,False
COM312-002: Film & Culture,COM312-002,1966770,Spring 2020,COM 312,98015952,Section 002,97420404,CCC,"Community, Culture and Citizenship in US",Alan D Desantis,ADDESA01,COM312-002,13) American Factory (2019),10417612,,False
COM312-002: Film & Culture,COM312-002,1966770,Spring 2020,COM 312,98015952,Section 002,97420404,CCC,"Community, Culture and Citizenship in US",Alan D Desantis,ADDESA01,COM312-002,12) Real Women Have Curves (2002),10417613,,False
COM312-002: Film & Culture,COM312-002,1966770,Spring 2020,COM 312,98015952,Section 002,97420404,CCC,"Community, Culture and Citizenship in US",Alan D Desantis,ADDESA01,COM312-002,14) Joy Luck Club (1993),10417614,,False
COM312-002: Film & Culture,COM312-002,1966770,Spring 2020,COM 312,98015952,Section 002,97420404,CCC,"Community, Culture and Citizenship in US",Alan D Desantis,ADDESA01,COM312-002,15) Last Samurai (2003),10417615,,False
COM312-002: Film & Culture,COM312-002,1966770,Spring 2020,COM 312,98015952,Section 002,97420404,CCC,"Community, Culture and Citizenship in US",Alan D Desantis,ADDESA01,COM312-002,1) Avalon (1990),10417616,,False
COM312-002: Film & Culture,COM312-002,1966770,Spring 2020,COM 312,98015952,Section 002,97420404,CCC,"Community, Culture and Citizenship in US",Alan D Desantis,ADDESA01,COM312-002,2) Daughters of the Dust,10417617,,False
COM312-002: Film & Culture,COM312-002,1966770,Spring 2020,COM 312,98015952,Section 002,97420404,CCC,"Community, Culture and Citizenship in US",Alan D Desantis,ADDESA01,COM312-002,3) Blinded By the Light,10417618,,False
COM312-002: Film & Culture,COM312-002,1966770,Spring 2020,COM 312,98015952,Section 002,97420404,CCC,"Community, Culture and Citizenship in US",Alan D Desantis,ADDESA01,COM312-002,4) Crash (2004),10417619,,False
COM312-002: Film & Culture,COM312-002,1966770,Spring 2020,COM 312,98015952,Section 002,97420404,CCC,"Community, Culture and Citizenship in US",Alan D Desantis,ADDESA01,COM312-002,5) Do the Right Thing (1989),10417620,,False
COM312-002: Film & Culture,COM312-002,1966770,Spring 2020,COM 312,98015952,Section 002,97420404,CCC,"Community, Culture and Citizenship in US",Alan D Desantis,ADDESA01,COM312-002,6) Race Illusion,10417621,,False
COM312-002: Film & Culture,COM312-002,1966770,Spring 2020,COM 312,98015952,Section 002,97420404,CCC,"Community, Culture and Citizenship in US",Alan D Desantis,ADDESA01,COM312-002,7) In Time (2011),10417622,,False
COM312-002: Film & Culture,COM312-002,1966770,Spring 2020,COM 312,98015952,Section 002,97420404,CCC,"Community, Culture and Citizenship in US",Alan D Desantis,ADDESA01,COM312-002,8) Reel Injun (2009)  ,10417623,,False
COM312-002: Film & Culture,COM312-002,1966770,Spring 2020,COM 312,98015952,Section 002,97420404,CCC,"Community, Culture and Citizenship in US",Alan D Desantis,ADDESA01,COM312-002,9) Ghandi (1982),10417624,,False
COM312-002: Film & Culture,COM312-002,1966770,Spring 2020,COM 312,98015952,Section 002,97420404,CCC,"Community, Culture and Citizenship in US",Alan D Desantis,ADDESA01,COM312-002,Attendance and Participation ,10417625,,False
COM312-002: Film & Culture,COM312-002,1966770,Spring 2020,COM 312,98015952,Section 002,97420404,CCC,"Community, Culture and Citizenship in US",Alan D Desantis,ADDESA01,COM312-002,Final Exam ,10417626,,False
COM312-002: Film & Culture,COM312-002,1966770,Spring 2020,COM 312,98015952,Section 002,97420404,CCC,"Community, Culture and Citizenship in US",Alan D Desantis,ADDESA01,COM312-002,SONA,10417627,,False
ANT160-019: Cultural Diversity In The Modern World (Fall 2019),ANT160-019,1945345,Fall 2019,ANT 160,98006024,Section 019,97370433,GDY,Global Dynamics,Ann E Kingsolver,AEKI222,ANT160-019,Essays by midterm,10394813,,False
ANT160-019: Cultural Diversity In The Modern World (Fall 2019),ANT160-019,1945345,Fall 2019,ANT 160,98006024,Section 019,97370433,GDY,Global Dynamics,Ann E Kingsolver,AEKI222,ANT160-019,Midterm Exam,10394815,,False
ANT160-019: Cultural Diversity In The Modern World (Fall 2019),ANT160-019,1945345,Fall 2019,ANT 160,98006024,Section 019,97370433,GDY,Global Dynamics,Ann E Kingsolver,AEKI222,ANT160-019,Participation by midterm,10394816,,False
ANT160-019: Cultural Diversity In The Modern World (Fall 2019),ANT160-019,1945345,Fall 2019,ANT 160,98006024,Section 019,97370433,GDY,Global Dynamics,Ann E Kingsolver,AEKI222,ANT160-019,Essays - 2nd half of course,10396292,,False
ANT160-019: Cultural Diversity In The Modern World (Fall 2019),ANT160-019,1945345,Fall 2019,ANT 160,98006024,Section 019,97370433,GDY,Global Dynamics,Ann E Kingsolver,AEKI222,ANT160-019,Participation - 2nd half of course,10396298,,False
ANT330-001: North American Cultures (Spring 2020),ANT330-001,1963166,Spring 2020,ANT 330,98016287,Section 001,97413258,CCC,"Community, Culture and Citizenship in US",Ann E Kingsolver,AEKI222,ANT330-001,Paper #2,10464727,2020-04-17T03:00:00Z,False
ANT330-001: North American Cultures (Spring 2020),ANT330-001,1963166,Spring 2020,ANT 330,98016287,Section 001,97413258,CCC,"Community, Culture and Citizenship in US",Ann E Kingsolver,AEKI222,ANT330-001,Participation - 1st half of course,10464208,,False
ANT330-001: North American Cultures (Spring 2020),ANT330-001,1963166,Spring 2020,ANT 330,98016287,Section 001,97413258,CCC,"Community, Culture and Citizenship in US",Ann E Kingsolver,AEKI222,ANT330-001,Participation - 2nd half of the course,10464216,,False
ANT330-001: North American Cultures (Spring 2020),ANT330-001,1963166,Spring 2020,ANT 330,98016287,Section 001,97413258,CCC,"Community, Culture and Citizenship in US",Ann E Kingsolver,AEKI222,ANT330-001,Midterm Exam,10464730,,False
ANT330-001: North American Cultures (Spring 2020),ANT330-001,1963166,Spring 2020,ANT 330,98016287,Section 001,97413258,CCC,"Community, Culture and Citizenship in US",Ann E Kingsolver,AEKI222,ANT330-001,Final Exam,10464733,,False
ANT330-001: North American Cultures (Spring 2020),ANT330-001,1963166,Spring 2020,ANT 330,98016287,Section 001,97413258,CCC,"Community, Culture and Citizenship in US",Ann E Kingsolver,AEKI222,ANT330-001,Monday 3/23 class assignment,10491074,2020-03-23T16:00:00Z,True
ANT330-001: North American Cultures (Spring 2020),ANT330-001,1963166,Spring 2020,ANT 330,98016287,Section 001,97413258,CCC,"Community, Culture and Citizenship in US",Ann E Kingsolver,AEKI222,ANT330-001,Wednesday 3/25 assignment,10491085,2020-03-25T16:00:00Z,True
ANT330-001: North American Cultures (Spring 2020),ANT330-001,1963166,Spring 2020,ANT 330,98016287,Section 001,97413258,CCC,"Community, Culture and Citizenship in US",Ann E Kingsolver,AEKI222,ANT330-001,Event Reflection #1,10464193,2020-05-01T16:00:00Z,True
ANT330-001: North American Cultures (Spring 2020),ANT330-001,1963166,Spring 2020,ANT 330,98016287,Section 001,97413258,CCC,"Community, Culture and Citizenship in US",Ann E Kingsolver,AEKI222,ANT330-001,Event Reflection #2,10464196,2020-05-01T16:00:00Z,True
SPA208-001: U.S. Latino Culture And Politics (Spring 2020),SPA208-001,1965579,Spring 2020,SPA 208,98015422,Section 001,97420093,CCC,"Community, Culture and Citizenship in US",Arcelia  Gutierrez-Velazco,AGU282,SPA208-001,Participation #1,10433924,2020-03-19T03:59:59Z,False
